time,start_time,open,high,low,close,tick_volume,real_volume,num_time_bars,duration_seconds
2021-10-21 15:00:00,2021-10-21 10:30:00,1.1642299999999999,1.16458,1.1631,1.16375,15308,0,10,16200.0
2021-10-21 17:30:00,2021-10-21 15:30:00,1.16376,1.1651799999999999,1.16356,1.16455,14153,0,5,7200.0
2021-10-21 23:30:00,2021-10-21 18:00:00,1.16455,1.16466,1.16192,1.1623999999999999,13736,0,12,19800.0
2021-10-22 09:00:00,2021-10-22 00:00:00,1.16197,1.16356,1.16194,1.16323,14123,0,19,32400.0
2021-10-22 13:00:00,2021-10-22 09:30:00,1.16322,1.16466,1.1631,1.16424,13613,0,8,12600.0
2021-10-22 16:30:00,2021-10-22 13:30:00,1.16424,1.16471,1.16246,1.16446,13610,0,7,10800.0
2021-10-22 18:30:00,2021-10-22 17:00:00,1.16446,1.16554,1.16254,1.1632,13132,0,4,5400.0
2021-10-25 02:30:00,2021-10-22 19:00:00,1.16319,1.1644700000000001,1.16219,1.16389,13314,0,16,199800.0
2021-10-25 09:00:00,2021-10-25 03:00:00,1.1639,1.1665,1.16389,1.1653,13567,0,13,21600.0
2021-10-25 12:30:00,2021-10-25 09:30:00,1.1653,1.16642,1.16227,1.16269,13849,0,7,10800.0
2021-10-25 16:00:00,2021-10-25 13:00:00,1.16269,1.1627399999999999,1.15907,1.16112,13433,0,7,10800.0
2021-10-25 20:30:00,2021-10-25 16:30:00,1.16112,1.16151,1.16037,1.16112,13184,0,9,14400.0
2021-10-26 08:30:00,2021-10-25 21:00:00,1.16112,1.16168,1.15968,1.16027,13708,0,24,41400.0
2021-10-26 12:30:00,2021-10-26 09:00:00,1.16027,1.16178,1.15941,1.1616,13908,0,8,12600.0
2021-10-26 16:30:00,2021-10-26 13:00:00,1.1616,1.16257,1.16018,1.16114,14734,0,8,12600.0
2021-10-26 21:00:00,2021-10-26 17:00:00,1.16111,1.16124,1.1585,1.15981,13092,0,9,14400.0
2021-10-27 08:30:00,2021-10-26 21:30:00,1.15981,1.1605,1.15849,1.1596,13700,0,23,39600.0
2021-10-27 12:00:00,2021-10-27 09:00:00,1.1596,1.16133,1.15885,1.15892,13923,0,7,10800.0
2021-10-27 16:00:00,2021-10-27 12:30:00,1.15892,1.16257,1.15848,1.1621,14811,0,8,12600.0
2021-10-27 18:00:00,2021-10-27 16:30:00,1.16207,1.1623999999999999,1.15881,1.1593,13685,0,4,5400.0
2021-10-28 00:00:00,2021-10-27 18:30:00,1.15929,1.16161,1.1591,1.16027,13196,0,12,19800.0
2021-10-28 09:00:00,2021-10-28 00:30:00,1.16023,1.16097,1.15893,1.16027,13888,0,18,30600.0
2021-10-28 12:00:00,2021-10-28 09:30:00,1.16027,1.1614200000000001,1.15831,1.15876,13266,0,6,9000.0
2021-10-28 15:00:00,2021-10-28 12:30:00,1.15876,1.1617899999999999,1.15824,1.15877,13097,0,6,9000.0
2021-10-28 16:30:00,2021-10-28 15:30:00,1.15877,1.16599,1.15862,1.16573,17056,0,3,3600.0
2021-10-28 18:30:00,2021-10-28 17:00:00,1.16574,1.1692,1.16574,1.16841,13778,0,4,5400.0
2021-10-29 01:00:00,2021-10-28 19:00:00,1.16841,1.16891,1.16714,1.16812,13532,0,13,21600.0
2021-10-29 07:30:00,2021-10-29 01:30:00,1.16814,1.16901,1.16642,1.16645,13763,0,13,21600.0
2021-10-29 11:00:00,2021-10-29 08:00:00,1.16645,1.16758,1.16582,1.1663000000000001,13061,0,7,10800.0
2021-10-29 14:30:00,2021-10-29 11:30:00,1.1663000000000001,1.16632,1.16449,1.16471,14105,0,7,10800.0
2021-10-29 17:00:00,2021-10-29 15:00:00,1.1647,1.16482,1.15945,1.15957,17038,0,5,7200.0
2021-10-29 19:00:00,2021-10-29 17:30:00,1.15957,1.15992,1.1538599999999999,1.15404,15602,0,4,5400.0
2021-11-01 05:00:00,2021-10-29 19:30:00,1.15404,1.15637,1.15353,1.15533,13160,0,20,207000.0
2021-11-01 11:00:00,2021-11-01 05:30:00,1.15533,1.1575199999999999,1.1546,1.1573,13532,0,12,19800.0
2021-11-01 16:00:00,2021-11-01 11:30:00,1.1573,1.15804,1.15619,1.15697,14728,0,10,16200.0
2021-11-01 23:00:00,2021-11-01 16:30:00,1.15697,1.1609,1.15687,1.16039,13095,0,14,23400.0
2021-11-02 08:00:00,2021-11-01 23:30:00,1.16036,1.16084,1.15951,1.16017,13666,0,18,30600.0
2021-11-02 12:00:00,2021-11-02 08:30:00,1.1602000000000001,1.16132,1.1586,1.1592,13043,0,8,12600.0
2021-11-02 15:30:00,2021-11-02 12:30:00,1.15921,1.16077,1.1589,1.15913,13985,0,7,10800.0
2021-11-02 19:00:00,2021-11-02 16:00:00,1.15913,1.1599599999999999,1.15753,1.1582,13720,0,7,10800.0
2021-11-03 08:00:00,2021-11-02 19:30:00,1.1582,1.1587399999999999,1.15747,1.15838,13144,0,26,45000.0
2021-11-03 13:00:00,2021-11-03 08:30:00,1.15839,1.15979,1.15785,1.1589,13602,0,10,16200.0
2021-11-03 16:00:00,2021-11-03 13:30:00,1.1589,1.15927,1.15621,1.15699,13111,0,6,9000.0
2021-11-03 20:00:00,2021-11-03 16:30:00,1.15697,1.16092,1.1569,1.15823,17187,0,8,12600.0
2021-11-03 21:30:00,2021-11-03 20:30:00,1.15823,1.16161,1.15717,1.1607,14959,0,3,3600.0
